,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.4804407119750977,0.031161525829390586,0.008377885818481446,0.0004886361086223201,0.01,3,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.5}",0.7820193322664124,0.8050070760196861,0.7244069873054094,0.751006484591175,0.7663698962887862,0.7657619552942938,0.02732328198459776,4
1,1.423593235015869,0.010260718013936911,0.008377361297607421,0.0004882859159038056,0.01,3,0.75,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.75}",0.7783386679378915,0.7976195002429082,0.7300699152989882,0.7473047757852269,0.7645670954523371,0.7635799909434704,0.023517180585391723,6
2,1.2664133548736571,0.006950131801174964,0.007978868484497071,9.5367431640625e-08,0.01,3,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0.7623199570961591,0.7752835688486154,0.7269057727647171,0.7422998120102233,0.7578501573622288,0.7529318536163887,0.01674707476378339,10
3,2.100383424758911,0.01504608729145561,0.00797863006591797,2.78041453115716e-07,0.01,5,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.5}",0.7716487758785073,0.7797731449211076,0.7204908856641954,0.7551549331474559,0.7492237500792092,0.7552582979380951,0.020566112408912377,9
4,2.0971923828125,0.012933390790732338,0.008177757263183594,0.00039899452857278104,0.01,5,0.75,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.75}",0.7689800548215745,0.7853948841433791,0.7233994465918933,0.7538812496039542,0.7546046934076844,0.7572520657136972,0.020464284793067184,7
5,1.9250523567199707,0.017766952408044743,0.007978248596191406,0.0006304494584372211,0.01,5,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",0.731317888518115,0.7265952727964007,0.7183701920030416,0.7350368586697084,0.7340483281583339,0.7290737080291199,0.006100004157093922,20
6,2.689607620239258,0.009553614145326409,0.007978725433349609,9.5367431640625e-08,0.01,7,0.5,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.5}",0.7588999931898665,0.7636250343239761,0.7102908560927699,0.7435692710643601,0.7232684874215829,0.7399307284185112,0.02044820010377028,15
7,2.7454586029052734,0.010333687485392543,0.008178138732910156,0.0003989219950512487,0.01,7,0.75,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.75}",0.7578529351675293,0.7617324630885243,0.7125720803497876,0.7383647001668674,0.7282829562976576,0.7397610270140732,0.018346638932269926,16
8,2.6886104583740233,0.0443129973386154,0.008377695083618164,0.0004886944799204637,0.01,7,1.0,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",0.7139371509806592,0.6962000718163193,0.6979152144984476,0.7092315653845342,0.724518936273578,0.7083605877907077,0.010487448275461135,34
9,3.5134050846099854,0.04435318570572397,0.009773874282836914,0.0015960216985220813,0.01,9,0.5,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.5}",0.7450669095614273,0.7569968105105295,0.7060389075470502,0.7320047314280886,0.7272257778341042,0.73346662737624,0.017213954937250774,19
10,3.8830172061920165,0.03579088038673274,0.008975744247436523,0.0006309019267775051,0.01,9,0.75,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.75}",0.7443497173794605,0.7475022706630337,0.6980778573389942,0.7282533848721036,0.7246942525822191,0.7285754965671621,0.017620003571041293,21
11,3.8319534778594972,0.04196571684347138,0.008576536178588867,0.0004883441241955847,0.01,9,1.0,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 1.0}",0.6885630192726777,0.6856156137126925,0.6790940582557083,0.7007244999260714,0.7110269733645945,0.6930048329063488,0.011421302251680381,46
12,1.3481947898864746,0.024619366380720435,0.007180976867675781,0.00039885048017148766,0.05,3,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.5}",0.7819608076818305,0.7894070929176435,0.7393299959867351,0.750881862154912,0.7794901041336628,0.7682139725749568,0.019493389255878454,3
13,1.3515855312347411,0.007420595412088649,0.00738058090209961,0.0004886360620900065,0.05,3,0.75,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.75}",0.795963080563879,0.802929683374522,0.7249244872526033,0.7640664934626027,0.7727668293095072,0.7721301147926228,0.02760587744688437,1
14,1.2159482479095458,0.003752962724244857,0.007579946517944336,0.0004885387300577005,0.05,3,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0.784941305162081,0.7972741482373318,0.7389571848002872,0.7590393511184336,0.7708161713452887,0.7702056321326844,0.020255215003755416,2
15,2.0854234218597414,0.007164219895080786,0.008377647399902344,0.0004885387300577005,0.05,5,0.5,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.5}",0.7732289396622173,0.7842405424244345,0.7082229685486767,0.7342922924191538,0.727089538052088,0.7454148562213141,0.028718712948150277,12
16,2.1267128944396974,0.0063267546375076885,0.008776569366455078,0.0011628920255835485,0.05,5,0.75,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.75}",0.7731289158267504,0.7643431975160003,0.7212660794626449,0.746184229981201,0.7148026107344274,0.7439450067042049,0.02296263854455287,13
17,1.9665410041809082,0.008329897348009518,0.008178377151489257,0.0003986836192625211,0.05,5,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.7574198532416234,0.7454850769913187,0.7098895296031091,0.7427011384998837,0.7156137126924783,0.7342218622056828,0.01830426485861909,18
