,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.0273786067962645,0.014663261916416138,0.011569547653198241,0.0004884608551226126,0.01,3,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.5}",0.7304446170595453,0.728123532995735,0.7149194381762626,0.7127190608568277,0.715205339683958,0.7202823977544657,0.007436343485777508,49
1,2.0381496429443358,0.017947558407179594,0.011568975448608399,0.0004885777256966609,0.01,3,0.75,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.75}",0.728585675354021,0.7266335752761905,0.7153510399547616,0.7123561186565727,0.710901087022446,0.7187654992527983,0.007388235927784687,52
2,1.8564353942871095,0.0132101709188502,0.011768579483032227,0.0011629492678305994,0.01,3,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0.7251918294153036,0.7250437364152045,0.7110936063008098,0.7098429694391535,0.7109682629981675,0.7164280809137277,0.0071086247856882645,54
3,3.220188617706299,0.06250774826887269,0.012566518783569337,0.0004887723315884706,0.01,5,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.5}",0.7431375893456018,0.7385960706758956,0.7257344529240972,0.7267582639885333,0.7260565629392829,0.7320565879746822,0.007342960635428281,35
4,3.26845965385437,0.04907599352425113,0.01236724853515625,0.0004886166205017064,0.01,5,0.75,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.75}",0.7421343601114674,0.7369186437370299,0.7240483824249144,0.7223588133728559,0.722071300196768,0.7295062999686072,0.008373355280536123,39
5,3.1739129066467284,0.1495688583351587,0.013364171981811524,0.002410029148886297,0.01,5,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",0.7347696625630884,0.7295720016257576,0.722996365094768,0.7183676007582056,0.7183165470166574,0.7248044354116955,0.006462663448426173,44
6,4.357548189163208,0.11148660762633453,0.011768293380737305,0.000746403995170998,0.01,7,0.5,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.5}",0.7508918233456033,0.7417200454536026,0.7293555284595946,0.7368129721031608,0.7332173300198304,0.7383995398763583,0.007459886626043045,26
7,4.094851064682007,0.12012329501319967,0.011169195175170898,0.0003987551697700966,0.01,7,0.75,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.75}",0.7494327903640821,0.741473607945007,0.7291154295618982,0.7322745631834197,0.728432481234871,0.7361457744578557,0.00810971663857993,29
8,3.659814214706421,0.06789395483497523,0.009374284744262695,0.0004884997964692402,0.01,7,1.0,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",0.7415596593899414,0.731307628537425,0.7236888103157242,0.726862482716581,0.7207667427482574,0.7288370647415857,0.007259499913059498,41
9,4.459698152542114,0.11510157199343998,0.009151840209960937,0.000395496184134333,0.01,9,0.5,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.5}",0.7512994152343326,0.7381112629816673,0.7301161617674967,0.7388963870073217,0.7357254890219102,0.7388297432025457,0.0069509175113514525,25
10,4.469472169876099,0.05991352863394424,0.008553552627563476,0.0004930536198038874,0.01,9,0.75,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.75}",0.75154566066381,0.7372276990381447,0.7301833894588516,0.7365482987588182,0.7313509894829293,0.7373712074805108,0.007609476317509654,27
11,4.2642231464385985,0.030154176372856435,0.007953119277954102,0.000631036112661247,0.01,9,1.0,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 1.0}",0.7374263088463191,0.7222680010787162,0.7203741009736875,0.722036560620752,0.721911421374551,0.7248032785788052,0.006346711049731449,45
12,1.2558415412902832,0.006863551382523426,0.00797882080078125,0.0010925363332805527,0.05,3,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.5}",0.7574885885795903,0.7529536005999016,0.7375367543392594,0.7408805733987743,0.73879312793607,0.7455305289707191,0.008111871231751793,11
13,1.2634212970733643,0.004433430705897615,0.007380437850952148,0.0004885582026693973,0.05,3,0.75,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.75}",0.7544502810885816,0.753222127207085,0.7364954934397299,0.7403882694624156,0.7375306034552251,0.7444173549306076,0.00780513148135653,15
14,1.1543131828308106,0.002570163688740519,0.007779407501220703,0.001163121018720936,0.05,3,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0.7514067874613825,0.7518629753670054,0.7359540224056449,0.736632748556868,0.7377405763621944,0.742719422030619,0.007303177609706909,19
15,2.090410089492798,0.06427323314928182,0.008577060699462891,0.0004885776558898482,0.05,5,0.5,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.5}",0.761637113373547,0.7518848723864755,0.742008164130838,0.7464721096864686,0.7438973505027451,0.7491799220160148,0.0070593242395186355,4
16,2.9564943313598633,0.3911991917691577,0.011967897415161133,0.0012612383667531823,0.05,5,0.75,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.75}",0.7595492133591795,0.7523372187097355,0.7418310671838974,0.7442948403476567,0.7425185156182226,0.7481061710437384,0.0068406146663278315,5
17,3.1080886840820314,0.008570276606577923,0.012965631484985352,0.0006309019520051298,0.05,5,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.7602349358110002,0.7523439414788708,0.7367113903685384,0.7440226816803054,0.7437739386387767,0.7474173775954982,0.008099106130883136,7
