,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.8023804664611816,0.03217206845969864,0.011369419097900391,0.0011967183441908048,0.01,3,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.5}",0.8201470879740327,0.8157267324005558,0.7977543629166783,0.8094581828479115,0.8137058176348798,0.8113584367548116,0.007622524306316444,49
1,2.0070331573486326,0.10044843696039771,0.01196756362915039,0.0021845938403742557,0.01,3,0.75,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.75}",0.813838975990188,0.8134330869859897,0.7972112227308035,0.8009513077144474,0.8114301608375808,0.8073729508518019,0.006920894492946051,57
2,1.7569016456604003,0.043033888229606104,0.010571718215942383,0.0007979870626097938,0.01,3,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0.8127226141952748,0.8051989425014158,0.7951301524815781,0.7982427635467828,0.8109612962326805,0.8044511537915463,0.006881618626756595,58
3,2.8084897994995117,0.06457295679975247,0.010970878601074218,0.001545079701382328,0.01,5,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.5}",0.8294657181882379,0.8244709412263516,0.8133303777841737,0.8155739258667806,0.8278589909043361,0.822139990793976,0.006519648212076378,34
4,2.705764579772949,0.043385773469457226,0.009973526000976562,2.132480599880018e-07,0.01,5,0.75,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.75}",0.8282694088605871,0.8230014839642116,0.8103699929747681,0.8147830069849994,0.8272578229208253,0.8207363431410784,0.007032937761114459,37
5,2.4312986373901366,0.034395245994791095,0.009574317932128906,0.0007977008890839143,0.01,5,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",0.8241909232255907,0.8191403143095002,0.8073653136131667,0.8117322922372733,0.8227788506472808,0.8170415388065623,0.006484639334107021,42
6,3.3779677391052245,0.05466967486103728,0.009374427795410156,0.0007978439473547263,0.01,7,0.5,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.5}",0.8316153970043485,0.8261951405201149,0.8185360515101153,0.822750417026439,0.8329513169988951,0.8264096646119826,0.0053911550237091144,22
7,3.367196798324585,0.04188520203567956,0.008975362777709961,0.0006308266646787819,0.01,7,0.75,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.75}",0.830942327824374,0.8255224049195192,0.8149267224971452,0.8206521318639147,0.8299563089368999,0.8243999792083706,0.005978694127928453,31
8,3.1854827880859373,0.04322936835141659,0.009174871444702148,0.0019339296165684654,0.01,7,1.0,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",0.8233895121226011,0.8161242228143637,0.8082247052961584,0.8159290559883141,0.8229159896756941,0.8173166971794263,0.005554151913385528,41
9,3.9322983264923095,0.043138617555451446,0.00816497802734375,0.0004052310919775326,0.01,9,0.5,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.5}",0.831477182625717,0.8274083083426952,0.818010899941508,0.8214033984173111,0.8348722305266448,0.8266344039707754,0.006223205930794632,20
10,4.308695840835571,0.0666178646611337,0.008160686492919922,0.0004069620244452411,0.01,9,0.75,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.75}",0.8330738103497404,0.827193218639457,0.8142394799471406,0.8191900247894752,0.8294218729206707,0.8246236813292969,0.00690486939392628,30
11,4.595912170410156,0.117780432536922,0.00797719955444336,3.8146972656249997e-07,0.01,9,1.0,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 1.0}",0.8196732101044388,0.8126930391401364,0.7991344573704587,0.8049507769535251,0.8187221273145355,0.811034722176619,0.007938518482933539,51
12,1.5592303276062012,0.10840151485245522,0.009574413299560547,0.0010171677298205833,0.05,3,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.5}",0.8328300962003047,0.8266582023452516,0.8189737745302844,0.8208813416645777,0.8313348559827434,0.8261356541446323,0.0054958280551817154,25
