,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.981900405883789,0.013636647684730356,0.011569070816040038,0.00048816969740921517,0.05,3,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.5}",0.7574885885795903,0.7529536005999016,0.7375367543392594,0.7408805733987743,0.73879312793607,0.7455305289707191,0.008111871231751793,42
1,2.0243841648101806,0.009923648538659768,0.011370182037353516,0.0004886166205017064,0.05,3,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.6}",0.7529737689073079,0.7522190900520688,0.7376450869618999,0.7412774874496084,0.740253341716895,0.7448737550175559,0.006420267488687278,44
2,2.0096262454986573,0.005606449684113158,0.012366962432861329,0.0007981301066211364,0.05,3,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7}",0.7539370456848659,0.7543346494594508,0.7354359850239753,0.7393942569530974,0.7393529917108684,0.7444909857664516,0.008006177975057422,50
3,1.984891986846924,0.007339670540020265,0.012167692184448242,0.00039863597833367134,0.05,3,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.7554815538739669,0.752093278229676,0.7362325371269727,0.7391142291000184,0.7391890823301082,0.7444221361321484,0.0077946828401271925,52
4,1.9575651645660401,0.004342824863816128,0.012367153167724609,0.0007977367315879602,0.05,3,0.9,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.9}",0.7530194837374293,0.7524420939082492,0.7370675050536016,0.7388846791944104,0.7392194074848624,0.7441266338757104,0.007065690534898772,53
5,1.8143478393554688,0.00744745116559499,0.011369800567626953,0.0004883440543553798,0.05,3,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0.7514067874613825,0.7518629753670054,0.7359540224056449,0.736632748556868,0.7377405763621944,0.742719422030619,0.007303177609706909,62
6,2.52803955078125,0.011688864142644835,0.012167549133300782,0.00039894593308417833,0.05,4,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.5}",0.7577258062905143,0.7545597661859311,0.7398461215768619,0.7442399479789245,0.7458682936304123,0.7484479871325289,0.006660124242786895,11
7,2.6028394222259523,0.0036994809832750753,0.011968374252319336,0.0006305249134110494,0.05,4,0.6,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.6}",0.7558816546770881,0.7540261703956906,0.737472791992913,0.7465390937308308,0.7422300427853386,0.7472299507163722,0.006952971917122669,24
8,2.59266676902771,0.00232608665034173,0.012566423416137696,0.0011966943966471456,0.05,4,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7}",0.7573049609426322,0.7541909742790694,0.7386717498484496,0.746472493549187,0.7432019831883484,0.7479684323615373,0.006888773044034565,13
9,2.56673641204834,0.016076337585161873,0.012965250015258788,0.0019944668186669375,0.05,4,0.8,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8}",0.7576418677158796,0.7542727999834045,0.739788689920533,0.74452074355744,0.7410542712788539,0.7474556744912222,0.007191747596610906,20
10,2.5394091606140137,0.016148009040241378,0.011968183517456054,3.5040231839893024e-07,0.05,4,0.9,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.9}",0.7559552209793424,0.7548667086167461,0.7388113913673497,0.7428826094066328,0.7416872609015093,0.746840638254316,0.00713001430272619,26
