,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.109340047836304,0.07885193729122082,0.012680864334106446,0.0007625446877792249,0.05,3,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.5}",0.9211301145143195,0.9158573435657755,0.9237747191844169,0.9248692115983366,0.9250171207489357,0.9221297019223569,0.0034319043365754398,145
1,2.187550354003906,0.01446332198776496,0.012268972396850587,0.00039963836872303703,0.05,3,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.6}",0.9199636277684877,0.9155025734074174,0.9237724246510545,0.9238859158012156,0.9259125182680157,0.9218074119792382,0.0036928005690279606,152
2,2.1462072849273683,0.011009203818047139,0.013164806365966796,0.0007462127115527938,0.05,3,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7}",0.9210521488192255,0.9160140778446918,0.9239025070424525,0.9242267422568324,0.9262302228874408,0.9222851397701286,0.003543892274608047,141
3,2.117613649368286,0.0067147680827584376,0.01276555061340332,0.0007466460296131512,0.05,3,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.9205801212172525,0.915501337889453,0.9245066753270592,0.9244466644545013,0.9250022945333625,0.9220074186843258,0.0036202693384232054,148
4,2.090221309661865,0.008011879802093077,0.012566328048706055,0.0007979870768564956,0.05,3,0.9,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.9}",0.9210447403142618,0.9149773017699677,0.9238747961395358,0.9247774302638361,0.925365889820038,0.9220080316615279,0.0038154601996426857,147
5,1.9598424911499024,0.02661261419246915,0.01436614990234375,0.0017716419737231154,0.05,3,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0.9207432847194292,0.9145235136718888,0.9233200485735064,0.9241616128098501,0.9257365452093673,0.9216970009968083,0.003934336218701919,155
6,2.7784013748168945,0.12606347600559778,0.013164329528808593,0.0009778561163831417,0.05,4,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.5}",0.9235237671894955,0.9163843802288884,0.9268659851314239,0.9269872423945044,0.9277267881474996,0.9242976326183625,0.004214450714002778,109
7,2.697907543182373,0.012076368068313628,0.014063692092895508,0.0010191482826662599,0.05,4,0.6,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.6}",0.9236560619209901,0.9171458123001107,0.9271614504274893,0.9268345676746139,0.9287393833706342,0.9247074551387676,0.004125215533810212,101
8,2.7008814334869387,0.018688563707558427,0.013364362716674804,0.0004886750732262974,0.05,4,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7}",0.9230378045424719,0.9173817962313171,0.9264720314033367,0.9273278923475547,0.9277472624451961,0.9243933573939753,0.0038776429333938008,106
9,2.679279899597168,0.023310537887961717,0.01236720085144043,0.0004884609249461174,0.05,4,0.8,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8}",0.9246244593555306,0.9177344483588791,0.9263514801505214,0.9270306620258258,0.9281212713832859,0.9247724642548085,0.003697643323990253,99
10,2.79341835975647,0.12790972014044788,0.014361715316772461,0.002053590435574197,0.05,4,0.9,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.9}",0.9236216652908015,0.9179930246185781,0.9258895729343904,0.9267198410064883,0.9272159897204905,0.9242880187141498,0.003380021518983184,110
11,2.593045949935913,0.13777954226386607,0.012566518783569337,0.0004888696636217089,0.05,4,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 1.0}",0.9246325734323957,0.9172254149575334,0.9261633284147952,0.9271197958218312,0.926617116512874,0.924351645827886,0.003658942260975735,107
12,3.2608824253082274,0.010523044023272908,0.012768697738647462,0.00024105801603743553,0.05,5,0.5,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.5}",0.9254245778916101,0.9195504832640267,0.9278994076573873,0.9290329071384699,0.929172697171017,0.9262160146245023,0.0035935037954323173,61
13,3.3638445377349853,0.019507928283137774,0.01436457633972168,0.0017115289068794946,0.05,5,0.6,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.6}",0.9254199916742517,0.9200503385319222,0.9288634646747763,0.9288560515669897,0.931258957505242,0.9268897607906365,0.003893317466090713,26
14,3.476008892059326,0.06858920552597578,0.014362192153930664,0.0018496890726785958,0.05,5,0.7,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7}",0.9255614588404631,0.92001468501352,0.9279975430842763,0.9296926737314759,0.9301424022705289,0.9266817525880529,0.003700753845122944,37
15,3.3575170040130615,0.01933064217691439,0.013665342330932617,0.0003982779787742697,0.05,5,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",0.9263026621227834,0.9190206225598523,0.928209699169026,0.9284469186181966,0.9296361929102449,0.9263232190760207,0.0038045509847885873,57
16,3.3362487316131593,0.028396770866699266,0.01376338005065918,0.0003988512497685697,0.05,5,0.9,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.9}",0.9263065427682409,0.9201128204404092,0.9278420443233245,0.9283339569757344,0.9300128493868299,0.9265216427789078,0.00341572066617702,45
17,3.2396354198455812,0.08434443790479246,0.013763093948364257,0.00039894581909694896,0.05,5,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.9263121873434512,0.9194004560826314,0.9287227921293975,0.9287692123043468,0.9299247746062228,0.92662588449321,0.0037994413625318706,40
